n	name	score	cards	games	flags	short	alt1
531	Audino	8.4	3	4		Using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch.	It touches others with the feelers on its ears, using the sound of their heartbeats to tell how they are feeling.
532	Timburr	6.0	3	3	deictic	These Pokémon appear at building sites and help out with construction.	It fights by swinging a piece of lumber around.
533	Gurdurr	7.8	4	3	deictic	This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.	With strengthened bodies, they skillfully wield steel beams to take down buildings.
534	Conkeldurr	7.8	3	3		It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago.	Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete.
535	Tympole	7.6	4	3		By vibrating its cheeks, it emits sound waves imperceptible to humans.	By vibrating its cheeks, it emits sound waves imperceptible to humans and warns others of danger.
536	Palpitoad	7.36	2	4		It lives in the water and on land. It uses its long, sticky tongue to immobilize its opponents.	It lives in the water and on land. It uses its long, sticky tongue to capture prey.
537	Seismitoad	6.8	4	3	deictic	They shoot paralyzing liquid from their head bumps.	It increases the power of its punches by vibrating the bumps on its fists.
538	Throh	7.6	4	3		When it tightens its belt, it becomes stronger.	When it encounters a foe bigger than itself, it wants to throw it.
539	Sawk	7.36	2	4		Desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping.	The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.
540	Sewaddle	8.4	3	4		Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.	Leavanny dress it in clothes they made for it when it hatched.
541	Swadloon	6.7	7	3	long	Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.	It protects itself from the cold by wrapping up in leaves.
542	Leavanny	5.76	2	3		It keeps its eggs warm with heat from fermenting leaves.	Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.
543	Venipede	8.6	4	3		Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.	It discovers what is going on around it by using the feelers on its head and tail.
544	Whirlipede	9.26	5	3		Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies.	It is usually motionless, but when attacked, it rotates at high speed and then crashes into its opponent.
545	Scolipede	8.6	4	3		With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.	It clasps its prey with the claws on its neck until it stops moving.
546	Cottonee	7.4	3	4		Perhaps because they feel more at ease in a group, they stick to others they find.	When attacked, it escapes by shooting cotton from its body.
547	Whimsicott	6.8	3	3		Like the wind, it can slip through any gap, no matter how small.	It scatters cotton all over the place as a prank.
548	Petilil	7.8	3	3		The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.	Since they prefer moist, nutrient-rich soil, the areas where Petilil live are known to be good for growing plants.
549	Lilligant	8.26	5	3		Even veteran Trainers face a challenge in getting its beautiful flower to bloom.	The fragrance of the garland on its head has a relaxing effect.
550	Basculin	6.4	4	1		Red and blue Basculin get along so poorly, they'll start fighting instantly.	Savage, violent Pokémon, red and blue Basculin are always fighting each other over territory.
551	Sandile	7.6	4	3		It moves along below the sand's surface, except for its nose and eyes.	It submerges itself in sand and moves as if swimming.
552	Krokorok	9.02	6	3	deictic	They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.	Protected by thin membranes, their eyes can see even in the dead of night.
553	Krookodile	7.8	4	3	deictic	They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile.	Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes.
554	Darumaka	8.6	4	3		Darumaka's droppings are hot, so people used to put them in their clothes to keep themselves warm.	When its internal fire is burning, it cannot calm down and it runs around.
555	Darmanitan	6.6	3	1		Its internal fire burns at 2,500º F, making enough power that it can destroy a dump truck with one punch.	When one is injured in a fierce battle, it hardens into a stone-like form.
556	Maractus	9.26	5	3		It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.	Arid regions are their habitat. They move rhythmically, making a sound similar to maracas.
557	Dwebble	7.36	2	4		When it finds a stone of a suitable size, it secretes a liquid from its mouth to open up a hole to crawl into.	The Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.
558	Crustle	6.8	3	3		Competing for territory, Crustle fight viciously.	When its boulder is broken in battles for territory, it feels unsure and begins to weaken.
559	Scraggy	10.3	7	3		Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck.	Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling it skin up to its neck.
560	Scrafty	8.2	4	4		It pulls up its shed skin to protect itself while it kicks.	Groups of them beat up anything that enters their territory.
561	Sigilyph	7.8	3	3		The guardians of an ancient city, they use their psychic power to attack enemies that invade their territory.	The guardians of an ancient city, they always fly the same route while keeping watch for invaders.
562	Yamask	8.26	5	3		Each of them carries a mask that used to be its face when it was human.	These Pokémon arose from the spirits of people interred in graves.
563	Cofagrigus	8.4	3	4		Grave robbers who mistake them for real coffins and get too close end up trapped inside their bodies.	It has been said that they swallow those who get too close and turn them into mummies.
564	Tirtouga	7.8	3	3		Restored from a fossil, this Pokémon can dive to depths beyond half a mile.	This Pokémon was restored from a fossil. It swam skillfully and dove to depths beyond half a mile.
565	Carracosta	6.0	3	3	deictic	They can live both in the ocean and on land.	It could knock out a foe with a slap from one of its developed front appendages and chew it up, shell or bones and all.
566	Archen	4.4	3	3	long	Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another.	Revived from a fossil, this Pokémon is thought to be the ancestor of all bird Pokémon.
567	Archeops	6.0	3	3	deictic	They are intelligent and will cooperate to catch prey.	It runs better than it flies. It takes off into the sky by running at a speed of 25 mph.
568	Trubbish	8.26	5	3		Inhaling the gas they belch will make you sleep for a week.	The combination of garbage bags and industrial waste caused the chemical reaction that created this Pokémon.
569	Garbodor	9.2	4	4		Consuming garbage makes new kinds of poison gases and liquids inside their bodies.	The toxic liquid it launches from its right arm is so virulent that it can kill a weakened creature instantly.
570	Zorua	9.82	6	3		To protect themselves from danger, they hide their true identities by transforming into people and Pokémon.	It changes into the forms of others to surprise them.
571	Zoroark	10.72	8	3		Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.	Each has the ability to fool a large group of people simultaneously.
572	Minccino	8.46	5	3	deictic	These Pokémon prefer a tidy habitat. They are always sweeping and dusting, using their tails as brooms.	The way it brushes away grime with its tail can be helpful when cleaning.
573	Cinccino	8.4	3	4		Cinccino's body is coated in a special oil that helps it deflect attacks, such as punches.	Their white fur is coated in a special oil that makes it easy for them to deflect attacks.
574	Gothita	9.3	7	3		Their ribbonlike feelers increase their psychic power.	They intently observe both Trainers and Pokémon.
575	Gothorita	6.26	5	1	deictic	They use hypnosis to control people and Pokémon.	Starlight is the source of their power. At night, they mark star positions by using psychic power to float stones.
576	Gothitelle	9.82	6	3		Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.	They can predict the future from the placement and movement of the stars.
577	Solosis	7.46	5	3	deictic	They drive away attackers by unleashing psychic power.	It communicates with others telepathically.
578	Duosion	8.6	4	3		Since they have two divided brains, at times they suddenly try to take two different actions at once.	When their two divided brains think the same thoughts, their psychic power is maximized.
579	Reuniclus	8.6	4	3		When Reuniclus shake hands, a network forms between their brains, increasing their psychic power.	These remarkably intelligent Pokémon fight by controlling arms that can grip with rock-crushing power.
580	Ducklett	7.8	3	3		When attacked, it uses its feathers to splash water, escaping under cover of the spray.	These bird Pokémon are excellent divers. They swim around in the water eating their favorite food—peat moss.
581	Swanna	10.72	8	3		Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.	Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles.
582	Vanillite	5.16	2	2		Theoretically, this Pokémon formed from icicles bathed in energy from the morning sun.	This Pokémon formed from icicles bathed in energy from the morning sun.
583	Vanillish	9.26	5	3		Snowy mountains are this Pokémon's habitat. During an ancient ice age, they moved to southern areas.	They cool down the surrounding air and create ice particles, which they use to freeze their foes.
584	Vanilluxe	5.3	1	3		If both heads get angry simultaneously, this Pokémon expels a blizzard, burying everything in snow.	Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards.
585	Deerling	6.8	3	3		The turning of the seasons changes the color and scent of this Pokémon's fur.	The color and scent of their fur changes to match the mountain grass.
586	Sawsbuck	8.46	5	3	deictic	They migrate according to the seasons. People can tell the season by looking at Sawsbuck's horns.	Sawsbuck in their Autumn Form are known for having very short tempers.
587	Emolga	7.0	3	3	deictic	They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.	The energy made in its cheeks' electric pouches is stored inside its membrane and released while it is gliding.
588	Karrablast	4.56	2	1		Its strange physiology reacts to electrical energy in interesting ways.	For some reason they evolve when they receive electrical energy while they are attacking Shelmet.
589	Escavalier	7.2	4	4	names:Shelmet	Wearing the shell covering they stole from Shelmet, they defend themselves and attack with two lances.	They fly around at high speed, striking with their pointed spears.
590	Foongus	7.6	4	3		It lures people in with its Poké Ball pattern, then releases poison spores.	It lures Pokémon with its pattern that looks just like a Poké Ball then releases poison spores.
591	Amoonguss	8.6	4	3		It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.	They show off their Poké Ball caps to lure prey, but very few Pokémon are fooled by this.
592	Frillish	7.36	2	4		If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return.	With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor.
593	Jellicent	8.4	3	4		Its body is mostly seawater. It's said there's a castle of ships Jellicent have sunk on the seafloor.	The fate of ships and crew that wander into Jellicent's habitats: all sunken, all lost, all vanished.
594	Alomomola	6.6	3	1		The special membrane enveloping Alomomola has the ability to heal wounds.	Floating in the open sea is how they live. When they find a wounded Pokémon, they embrace it and bring it to shore.
595	Joltik	6.6	3	1		Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.	They attach themselves to large-bodied Pokémon and absorb static electricity, which they store in an electric pouch.
596	Galvantula	9.26	5	3		When attacked, they create an electric barrier by spitting out many electrically charged threads.	They employ an electrically charged web to trap their prey.
597	Ferroseed	6.4	4	1		It defends itself by launching spikes, but its aim isn't very good at first.	It absorbs the iron it finds in the rock while clinging to the ceiling.
598	Ferrothorn	7.0	3	3	deictic	They attach themselves to cave ceilings, firing steel spikes at targets passing beneath them.	It fights by swinging around its three spiky feelers.
599	Klink	8.82	6	3	override	The two minigears that compose this Pokémon are closer than twins. They mesh well only with each other.	Interlocking two bodies and spinning around generates the energy they need to live.
600	Klang	6.8	3	3		By changing the direction in which it rotates, it communicates its feelings to others.	A minigear and big gear comprise its body. If the minigear it launches at a foe doesn't return, it will die.
601	Klinklang	6.76	2	3		Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.	The gear with the red core is rotated at high speed for a rapid energy charge.
602	Tynamo	11.1	9	3		While one alone doesn't have much power, a chain of many Tynamo can be as powerful as lightning.	One alone can emit only a trickle of electricity, so a group of them gathers to unleash a powerful electric shock.
603	Eelektrik	9.5	7	3	deictic	These Pokémon have a big appetite. When they spot their prey, they attack it and paralyze it with electricity.	It wraps itself around its prey and paralyzes it with electricity from the round spots on its sides.
604	Eelektross	8.92	8	3	deictic	They crawl out of the ocean using their arms.	With their sucker mouths, they suck in prey. Then they use their fangs to shock the prey with electricity.
605	Elgyem	9.26	5	3		It uses its strong psychic power to squeeze its opponent's brain, causing unendurable headaches.	Rumors of its origin are linked to a UFO crash site in the desert 50 years ago.
606	Beheeyem	6.76	2	3		It uses psychic power to control an opponent's brain and tamper with its memories.	Apparently, it communicates by flashing its three fingers, but those patterns haven't been decoded.
607	Litwick	9.26	5	3		While shining a light and pretending to be a guide, it leeches off the life force of any who follow it.	Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.
608	Lampent	9.42	6	4		The spirits it absorbs fuel its baleful fire.	It arrives near the moment of death and steals spirit from the body.
609	Chandelure	8.6	4	3		Being consumed in Chandelure's flame burns up the spirit, leaving the body behind.	The spirits burned up in its ominous flame lose their way and wander this world forever.
610	Axew	8.92	8	3	deictic	They use their tusks to crush the berries they eat.	They mark their territory by leaving gashes in trees with their tusks.
611	Fraxure	6.76	2	3		Their tusks can shatter rocks. Territory battles between Fraxure can be intensely violent.	A broken tusk will not grow back, so it diligently sharpens its tusks on river rocks after the end of a battle.
612	Haxorus	7.46	5	3	deictic	They are kind but can be relentless when defending territory.	Their sturdy tusks will stay sharp even if used to cut steel beams.
613	Cubchoo	6.6	3	1		When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases.	Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.
614	Beartic	5.76	2	3		It freezes its breath to create fangs and claws of ice to fight with.	It swims through frigid seas, searching for prey.
615	Cryogonal	7.8	4	3	deictic	They are born in snow clouds. They use chains made of ice crystals to capture prey.	When its body temperature goes up, it turns into steam and vanishes.
616	Shelmet	6.4	3	4	names:Karrablast	When it and Karrablast are together, and both receive electrical stimulation, they both evolve.	When attacked, it defends itself by closing the lid of its shell.
617	Accelgor	7.8	3	3		Having removed its heavy shell, it becomes very light and can fight with ninja-like movements.	When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.
618	Stunfisk	8.82	6	3		Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers.	It conceals itself in the mud of the seashore.
619	Mienfoo	6.8	3	3		In fights, they dominate with onslaughts of flowing, continuous attacks.	It takes pride in the speed at which it can use moves.
620	Mienshao	5.9	1	4		Using the long fur on its arms like whips, it launches into combo attacks that, once started, no one can stop.	Delivered at blinding speeds, kicks from this Pokémon can shatter massive boulders into tiny pieces.
621	Druddigon	7.6	4	3		It races through narrow caves, using its sharp claws to catch prey.	It warms its body by absorbing sunlight with its wings.
622	Golett	9.26	5	3		The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.	Ancient science fashioned this Pokémon from clay.
623	Golurk	7.8	3	3		It is said that Golurk were ordered to protect people and Pokémon by the ancient people who made them.	It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.
624	Pawniard	9.2	4	4		Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey.	Blades comprise this Pokémon's entire body. If battling dulls the blades, it sharpens them on stones by the river.
625	Bisharp	6.26	5	3	names:Pawniard	Bisharp pursues prey in the company of a large group of Pawniard.	This pitiless Pokémon commands a group of Pawniard to hound prey into immobility.
626	Bouffalant	8.6	4	3		Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.	They charge wildly and headbutt everything. Their headbutts have enough destructive force to derail a train.
627	Rufflet	7.8	4	3	deictic	They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.	They will challenge anything, even strong opponents, without fear.
628	Braviary	7.46	5	3	deictic	They fight for their friends without any thought about danger to themselves.	For the sake of its friends, this brave warrior of the sky will not stop battling, even if injured.
629	Vullaby	7.6	4	3		Its wings are too tiny to allow it to fly.	Their wings are too tiny to allow them to fly.
630	Mandibuzz	6.6	3	1		It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.	Watching from the sky, they swoop to strike weakened Pokémon on the ground.
631	Heatmor	7.4	3	4		It draws in air through its tail, transforms it into fire, and uses it like a tongue.	There's a hole in its tail that allows it to draw in the air it needs to keep its fire burning.
632	Durant	6.4	3	4	names:Heatmor	Individuals each play different roles in driving Heatmor, their natural predator, away from their colony.	They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.
633	Deino	8.4	3	4		Lacking sight, it's unaware of its surroundings, so it bumps into things and eats anything that moves.	They cannot see, so they tackle and bite to learn about their surroundings.
634	Zweilous	8.4	3	4		The two heads do not get along. Whichever head eats more than the other gets to be the leader.	After it has eaten up all the food in its territory, it moves to another area.
635	Hydreigon	8.6	4	3		The heads on their arms do not have brains. They use all three heads to consume and destroy everything.	It responds to movement by attacking. This scary, three-headed Pokémon devours everything in its path!
636	Larvesta	7.6	4	3		The base of volcanoes is where they make their homes.	This Pokémon was believed to have been born from the sun.
637	Volcarona	6.77	6	3	long	When volcanic ash darkened the atmosphere, it is said that Volcarona's fire provided a replacement for the sun.	A sea of fire engulfs the surroundings of their battles, since they use their six wings to scatter their ember scales.
638	Cobalion	8.4	3	4		It has a body and heart of steel. It worked with its allies to punish people when they hurt Pokémon.	It has a body and heart of steel. Its glare is sufficient to make even an unruly Pokémon obey it.
639	Terrakion	8.82	6	3		Its charge is strong enough to break through a giant castle wall in one blow.	This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.
640	Virizion	7.36	2	4		Legends say this Pokémon confounded opponents with its swift movements.	This Pokémon fought humans in order to protect its friends.
641	Tornadus	9.3	7	3		The lower half of its body is wrapped in a cloud of energy.	Tornadus expels massive energy from its tail, causing severe storms.
642	Thundurus	8.82	6	3		The spikes on its tail discharge immense bolts of lightning.	As it flies around, it shoots lightning all over the place and causes forest fires.
643	Reshiram	8.72	8	1	deictic	This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.	When Reshiram's tail flares, the heat energy moves the atmosphere and changes the world's weather.
644	Zekrom	8.72	8	1	deictic	This Pokémon appears in legends. In its tail, it has a giant generator that creates electricity.	This legendary Pokémon can scorch the world with lightning.
645	Landorus	10.3	7	3		Lands visited by Landorus grant such bountiful crops that it has been hailed as "The Guardian of the Fields."	From the forces of lightning and wind, it creates energy to give nutrients to the soil and make the land abundant.
646	Kyurem	8.6	4	3		It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out.	This legendary ice Pokémon waits for a hero to fill in the missing parts of its body with truth or ideals.
647	Keldeo	8.2	4	4		When it is resolute, its body fills with power and it becomes swifter.	It crosses the world, running over the surfaces of oceans and rivers.
648	Meloetta	9.82	6	3		Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.	The melodies sung by Meloetta have the power to make Pokémon that hear them happy or sad.
649	Genesect	10.9	9	4	deictic	This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.	This ancient bug Pokémon was altered by Team Plasma.
650	Chespin	9.12	8	2	override	The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.	Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn't faze it.
651	Quilladin	5.16	2	2		It relies on its sturdy shell to deflect predators' attacks.	They strengthen their lower bodies by running into one another.
652	Chesnaught	6.2	3	2		Its Tackle is forceful enough to flip a 50-ton tank.	When it takes a defensive posture with its fists guarding its face, it could withstand a bomb blast.
653	Fennekin	9.7	7	2		Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.	As it walks, it munches on a twig in place of a snack.
654	Braixen	8.22	6	2		When the twig is plucked from its tail, friction sets the twig alight.	It has a twig stuck in its tail.
655	Delphox	2.86	2	2	long	It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.	Using psychic power, it generates a fiery vortex of 5,400 degrees Fahrenheit, incinerating foes swept into this whirl of flame.
656	Froakie	9.5	9	2		It protects its skin by covering its body in delicate bubbles.	It secretes flexible bubbles from its chest and back.
657	Frogadier	9.22	6	2		Its swiftness is unparalleled. It can scale a tower of more than 2,000 feet in a minute's time.	It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.
658	Greninja	8.22	6	2		It creates throwing stars out of compressed water.	It appears and vanishes with a ninja's grace.
659	Bunnelby	7.86	5	2	deictic	They use their large ears to dig burrows. They will dig the whole night through.	It excels at digging holes. Using its ears, it can dig a nest 33 feet deep in one night.
660	Diggersby	6.2	3	2		With their powerful ears, they can heft boulders of a ton or more with ease.	As powerful as an excavator, its ears can reduce dense bedrock to rubble.
661	Fletchling	7.86	5	2	deictic	These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.	Despite the beauty of its lilting voice, it's merciless to intruders that enter its territory.
662	Fletchinder	6.2	3	2		From its beak, it expels embers that set the tall grass on fire.	The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going.
663	Talonflame	6.16	2	2		In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.	When attacking prey, it can reach speeds of up to 310 mph.
664	Scatterbug	8.0	4	2		The powder that covers its body regulates its temperature, so it can live in any region or climate.	When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact.
665	Spewpa	5.0	3	0		The beaks of birds can't begin to scratch its stalwart body.	Spewpa doesn't live in a fixed location.
666	Vivillon	7.0	4	2		The patterns on this Pokémon's wings depend on the climate and topography of its habitat.	Vivillon with many different patterns are found all over the world.
667	Litleo	6.2	4	2	deictic	They set off on their own from their pride and live by themselves to become stronger.	The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.
668	Pyroar	7.2	3	2		The male with the largest mane of fire is the leader of the pride.	With fiery breath of more than 10,000 degrees Fahrenheit, they viciously threaten any challenger.
669	Flabébé	6.2	3	2		When it finds a flower it likes, it dwells on that flower its whole life long.	It draws out and controls the hidden power of flowers.
670	Floette	7.2	3	2		When the flowers of a well-tended flower bed bloom, it appears and celebrates with an elegant dance.	It flutters around fields of flowers and cares for flowers that are starting to wilt.
671	Florges	4.1	1	1		Its life can span several hundred years. It's said to devote its entire life to protecting gardens.	In times long past, governors of castles would invite Florges to create flower gardens to embellish the castle domains.
672	Skiddo	7.2	3	2		Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition.	If it has sunshine and water, it doesn't need to eat, because it can generate energy from the leaves on its back.
673	Gogoat	7.2	4	2	deictic	They inhabit mountainous regions. The leader of the herd is decided by a battle of clashing horns.	It can tell how its trainer is feeling by subtle shifts in the grip on its horns.
674	Pancham	7.2	3	2		It does its level best to glare and pull a scary face, but it can't help grinning if anyone pats its head.	It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating.
675	Pangoro	5.16	2	2		Although it possesses a violent temperament, it won't put up with bullying.	From the slight twitches of its bamboo leaf, it deduces its opponent's movements.
676	Furfrou	9.22	6	2		Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.	Left alone, its fur will grow longer and longer, but it will only allow someone it trusts to cut it.
677	Espurr	7.2	3	2		The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.	My number one. Exceptionally cute. A little princess.
678	Meowstic	8.0	4	2		When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck into dust.	The eyeball patterns on the interior of its ears emit psychic energy.
679	Honedge	8.22	6	2		Apparently this Pokémon is born when a departed spirit inhabits a sword.	The blue eye on the sword's handguard is the true body of Honedge.
680	Doublade	6.6	3	1		The two swords employ a strategy of rapidly alternating between offense and defense to bring down their prey.	The complex attack patterns of its two swords are unstoppable, even for an opponent greatly accomplished at swordplay.
681	Aegislash	6.4	4	1		Its potent spectral powers allow it to manipulate others.	Apparently, it can detect the innate qualities of leadership.
682	Spritzee	6.2	3	2		It emits a scent that enraptures those who smell it.	In the past, rather than using perfume, royal ladies carried a Spritzee that would waft a fragrance they liked.
683	Aromatisse	2.21	2	2	long	It devises various scents, pleasant and unpleasant, and emits scents that its enemies dislike in order to gain an edge in battle.	Its scent is so overpowering that, unless a Trainer happens to really enjoy the smell, he or she will have a hard time walking alongside it.
684	Swirlix	7.2	3	2		To entangle its opponents in battle, it extrudes white threads as sweet and sticky as cotton candy.	It eats its own weight in sugar every day. If it doesn't get enough sugar, it becomes incredibly grumpy.
685	Slurpuff	8.22	6	2		It can distinguish the faintest of scents.	By taking in a person's scent, it can sniff out their mental and physical condition.
686	Inkay	7.66	5	2		It flashes the light-emitting spots on its body, which drains its opponent's will to fight.	It spins while making its luminescent spots flash.
687	Malamar	8.0	4	2		It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants.	It's said that Malamar's hypnotic powers played a role in certain history-changing events.
688	Binacle	6.16	2	2		Two Binacle live together on one rock. When they fight, one of them will move to a different rock.	After two Binacle find a suitably sized rock, they adhere themselves to it and live together.
689	Barbaracle	5.16	2	2		Barbaracle's legs and hands have minds of their own, and they will move independently.	Seven Binacle come together to form one Barbaracle.
690	Skrelp	6.16	2	2		It looks just like rotten kelp. It hides from foes while storing up power for its evolution.	Camouflaged as rotten kelp, they spray liquid poison on prey that approaches unawares and then finish it off.
691	Dragalge	6.16	2	2		Tales are told of ships that wander into seas where Dragalge live, never to return.	This vicious Pokémon sprays a poisonous liquid on opponents that come near.
692	Clauncher	5.36	2	2	deictic	They knock down flying prey by firing compressed water from their massive claws like shooting a pistol.	Through controlled expulsions of internal gas, it can expel water like a pistol shot.
693	Clawitzer	7.2	3	2		By expelling water from the nozzle in the back of its claw, it can move at a speed of 60 knots.	Their enormous claws launch cannonballs of water powerful enough to pierce tanker hulls.
694	Helioptile	7.2	3	2		The frills on either side of its head have cells that generate electricity when exposed to sunlight.	They make their home in deserts.
695	Heliolisk	7.9	7	2	deictic	They flare their frills and generate energy.	A now-vanished desert culture treasured these Pokémon.
696	Tyrunt	3.7	1	2		Its immense jaws have enough destructive force that it can chew up an automobile.	This Pokémon was restored from a fossil.
697	Tyrantrum	4.7	1	2		Nothing could stop this Pokémon 100 million years ago, so it behaved like a king.	The king of the ancient world, it can easily crunch a car with the devastating strength of its enormous jaws.
698	Amaura	1.9	1	2	names:Tyrantrum,deictic	This calm Pokémon lived in a cold land where there were no violent predators like Tyrantrum.	It lived in cold areas in ancient times. It’s said that when Amaura whinnies, auroras appear in the night sky.
699	Aurorus	4.7	1	2		Using its diamond-shaped crystals, it can instantly create a wall of ice to block an opponent's attack.	Aurorus was restored from a fossil. It’s said that when this Pokémon howls, auroras appear in the night sky.
700	Sylveon	6.16	2	2		It sends a soothing aura from its ribbonlike feelers to calm fights.	There's a Galarian fairy tale that describes a beautiful Sylveon vanquishing a dreadful dragon Pokémon.
701	Hawlucha	7.0	4	2		With its wings, it controls its position in the air.	It drives its opponents to exhaustion with its agile maneuvers, then ends the fight with a flashy finishing move.
702	Dedenne	6.4	4	1		Its upper whiskers are sensors that survey its surroundings.	Its whiskers serve as antennas.
703	Carbink	5.56	2	1		Although this Pokémon is not especially rare, its glittering, jewel-draped body draws attention from people.	It has slept underground for hundreds of millions of years since its birth.
704	Goomy	6.16	2	2		The weakest Dragon-type Pokémon, it lives in damp, shady places, so its body doesn't dry out.	It's covered in a slimy membrane that makes any punches or kicks slide off it harmlessly.
705	Sliggoo	6.2	3	2		Its four horns are a high-performance radar system.	It drives away opponents by excreting a sticky liquid that can dissolve anything.
706	Goodra	4.1	1	1		An amazingly friendly Pokémon, but if left to itself, loneliness overcomes it, and it oozes gooey tears.	This very friendly dragon Pokémon will hug its beloved Trainer, leaving that Trainer covered in sticky slime.
707	Klefki	6.4	3	2	deictic	These key collectors threaten any attackers by fiercely jingling their keys at them.	In the past, noble families entrusted their vault keys to a Klefki.
708	Phantump	3.7	3	2	long	According to old tales, these Pokémon are stumps possessed by the spirits of children who died while lost in the forest.	By imitating the voice of a child, it causes people to get hopelessly lost deep in the forest.
709	Trevenant	7.66	5	2		Using its roots as a nervous system, it controls the trees in the forest.	It can control trees at will. It will trap people who harm the forest, so they can never leave.
710	Pumpkaboo	6.2	3	2		The pumpkin body is inhabited by a spirit trapped in this world.	It is said to carry wandering spirits to the place where they belong so they can move on.
711	Gourgeist	6.2	3	2		Singing in eerie voices, they wander town streets on the night of the new moon.	In the darkness of a new-moon night, Gourgeist will come knocking.
712	Bergmite	5.16	2	2		Using air of -150 degrees Fahrenheit, they freeze opponents solid.	It blocks opponents' attacks with the ice that shields its body.
713	Avalugg	4.7	1	2		Its ice-covered body is as hard as steel. Its cumbersome frame crushes anything that stands in its way.	Its ice-covered body is as hard as steel. Its enormous frame crushes anything that stands in its way.
714	Noibat	6.4	3	2	deictic	They live in pitch black caves. Their enormous ears can emit ultrasonic waves of 200,000 hertz.	Even a robust wrestler will become dizzy and unable to stand when exposed to its 200,000-hertz ultrasonic waves.
715	Noivern	4.36	2	2	deictic	They fly around on moonless nights and attack careless prey.	Aggressive and cruel, this Pokémon will ruthlessly torment enemies that are helpless in the dark.
